moduleCode,title,semesters,moduleCredit,prereqTree
EL4258,Metapragmatics and Language Ideology,1,4,"{'and': [{'nOf': [5, ['EL%:D']]}, 'EL2151:D']}"
EL4258HM,Metapragmatics and Language Ideology,1,5,"{'and': [{'nOf': [7, ['EL%:D']]}, 'EL2151:D']}"
EL4401,Honours Thesis,"1,2",8,"{'nOf': [10, ['EL%:D']]}"
EL4401HM,Honours Thesis,"1,2",15,"{'nOf': [11, ['EL%:D']]}"
EL4660,Independent Study,"1,2",4,"{'nOf': [10, ['EL%:D']]}"
EL4660HM,Independent Study,"1,2",5,"{'nOf': [11, ['EL%:D']]}"
EL4880D,Experimental Syntax,2,4,"{'and': [{'nOf': [7, ['EL%:D']]}, 'EL2101:D']}"
EL4880DHM,Experimental Syntax,2,5,"{'and': [{'nOf': [7, ['EL%:D']]}, 'EL2101:D']}"
EL4880F,Grammar and Language Processing,2,4,"{'and': [{'nOf': [5, ['EL%:D']]}, 'EL2101:D']}"
EL4880FHM,Grammar and Language Processing,2,5,"{'and': [{'nOf': [7, ['EL%:D']]}, 'EL2101:D']}"
EL5102,Phonetics and Phonology,2,4,
EL5102R,Phonetics and Phonology,2,5,
EL5103,Language in Society,2,4,
EL5103R,Language in Society,2,5,
EL5204R,Linguistic Typology,1,5,
EL5206R,Advanced Psycholinguistics,1,5,
EL5216R,Corpus Linguistics,2,5,
EL5251R,Approaches to Discourse,2,5,
EL5252R,Language Variation and Change,2,5,
EL5255R,Second Language Writing,1,5,
EL5270R,Explorations in Applied Linguistics,1,5,
EL5660,Independent Study,"1,2",4,
EL5661,Independent Study,1,4,
EL6660,Independent Study,"1,2",4,
EL6770,Graduate Research Seminar,1,4,
EL6880,Topics in Grammatical Theory,1,4,
EL6881,Topics in Language and Cognition,"1,2",4,
EL6882,Topics in Language and Society,2,4,
EL6884,Topics in Applied Linguistics,"1,2",4,
ELC5104,Approaches to Language,1,4,
ELC5204,Linguistic Typology,1,4,
ELC5206,Advanced Psycholinguistics,1,4,
ELC5216,Corpus Linguistics,2,4,
ELC5251,Approaches to Discourse,2,4,
ELC5252,Language Variation and Change,2,4,
ELC5255,Second Language Writing,1,4,
ELC5270,Explorations in Applied Linguistics,1,4,
EM1201,English for Academic Purposes (Music) 1,1,0,
EM1202,English for Academic Purposes (Music) 2,"1,2",0,
EN1101E,An Introduction to Literary Studies,"1,2",4,
EN2202,Critical Reading,2,4,EN1101E:D
EN2203,Introduction to Film Studies,2,4,
EN2206,Art and Social Justice,2,4,EN1101E:D
EN2207,Gender and Sexuality in Literature,1,4,EN1101E:D
EN2275,Writing About Literature,1,4,EN1101E:D
EN3220,From the “Age of Epic” to the “Age of TV”,2,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2204', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2276', 'EN2277:D']}]}"
EN3222,The Eighteenth Century,1,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3224,The Twentieth Century,2,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3229,Shakespeare in His Time and Ours,2,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3241,Literature and Psychoanalysis,2,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3242,History of Film,1,4,"{'or': ['EN2203:D', 'EN2204:D']}"
EN3243,S/F: Science Fiction and Fantasy,1,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3248,Reading the Horror Film,1,4,EN2203:D
EN3249,"Introduction to Visual Culture: Art, Film and Media",1,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3252,The Genealogy of Affect Theory,1,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3253,Strange Times: Issues in Contemporary Literature,2,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3263,Singapore Literature in Context,1,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3264,In Other Wor(l)ds: Post ‐colonial Theory & Literature,1,4,"{'and': ['EN1101E:D', {'or': ['EN2201:D', 'EN2202:D', 'EN2203:D', 'EN2205:D', 'EN2206:D', 'EN2207:D', 'EN2275:D', 'EN2277:D']}]}"
EN3551,FASS Undergraduate Research Opportunity (UROP),"1,2",4,"{'nOf': [6, ['EN%:D']]}"
EN4232,Topics in American Literature,1,4,"{'nOf': [5, ['EN%:D']]}"
EN4232HM,Topics in American Literature,1,5,"{'nOf': [7, ['EN%:D']]}"
EN4234,Pynchon and the Poetics of Information,1,4,"{'nOf': [5, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4234HM,Pynchon and the Poetics of Information,1,5,"{'nOf': [7, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4244,Topics in Cultural Studies,2,4,"{'nOf': [5, ['EN%:D']]}"
EN4244HM,Topics in Cultural Studies,2,5,"{'nOf': [7, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4249,Autotheory and Contemporary Autofiction,2,4,"{'nOf': [5, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4249HM,Autotheory and Contemporary Autofiction,2,5,"{'nOf': [7, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4251,Jonathan Swift,1,4,"{'nOf': [5, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4251HM,Jonathan Swift,1,5,"{'nOf': [7, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4252,The Ancient Greek and Roman Worlds in Cinema,2,4,"{'nOf': [5, ['EN%:D']]}"
EN4252HM,The Ancient Greek and Roman Worlds in Cinema,2,5,"{'nOf': [7, ['EN%:D']]}"
EN4261,Metafictions and the Novel,1,4,"{'nOf': [5, ['EN%:D']]}"
EN4261HM,Metafictions and the Novel,1,5,"{'nOf': [7, ['EN%:D']]}"
EN4267,Literature and Ecology,2,4,"{'nOf': [5, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4267HM,Literature and Ecology,2,5,"{'nOf': [7, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4268,"World Literature: Theories, Methods, Texts",2,4,"{'nOf': [5, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4268HM,"World Literature: Theories, Methods, Texts",2,5,"{'nOf': [7, ['EN1%:D', 'EN2%:D', 'EN3%:D', 'EN4%:D']]}"
EN4401,Honours Thesis,"1,2",8,"{'nOf': [10, ['EN%:D']]}"
EN4401HM,Honours Thesis,"1,2",15,"{'nOf': [11, ['EN%:D']]}"
EN4660,Independent Study,"1,2",4,"{'nOf': [10, ['EN%:D']]}"
EN4660HM,Independent Study,"1,2",5,"{'nOf': [11, ['EN%:D']]}"
EN4880A,"Usurpation and Authority, 1558-1674",1,4,"{'nOf': [5, ['EN%:D']]}"
EN4880AHM,"Usurpation and Authority, 1558-1674",1,5,"{'nOf': [7, ['EN%:D']]}"
EN5235R,Politics and Literature,1,5,
EN5238R,Twentieth Century Literature,2,5,
EN5242R,Women Novelists,2,5,
EN5244R,Shakespeare in Culture and the New Millennium,2,5,
EN5247R,"Victorian Literature: History, Politics, Culture",1,5,
EN5253R,Writing in the Aftermath,2,5,
EN5660,Independent Study,"1,2",4,
EN5880AR,Literature and the Environment,2,5,
EN6660,Independent Study,"1,2",4,
EN6770,Graduate Research Seminar,2,4,
EN6880,Topics in the New Literatures,"1,2",4,
EN6881,Topics in Literary History,"1,2",4,
EN6882,Advanced Topics in Cultural Studies,2,4,
ENC5149,Literary Studies: Overview and Writing Practices,1,4,
ENC5150,Survey of the Discipline: Methods and Approaches,1,4,
ENC5151,Global Anglophone Literature,1,4,
ENC5235,Politics and Literature,1,4,
ENC5238,Twentieth Century Literature,2,4,
ENC5242,Women Novelists,2,4,
ENC5244,Shakespeare in Culture and the New Millennium,2,4,
ENC5247,"Victorian Literature: History, Politics, Culture",1,4,
ENC5253,Writing in the Aftermath,2,4,
ENC5660,Independent Study,"1,2",4,
ENC5880A,Literature and the Environment,2,4,
ENV1101,Environmental Studies: An Interdisciplinary Overview,1,4,
ENV2102,Environmental Law,2,4,
ENV2103,The Environment and Public Health,1,4,
ENV2288,Basic UROP in Environmental Studies I,"1,2",4,
ENV2289,Basic UROP in Environmental Studies II,"1,2",4,
ENV2301,Methods and Techniques for Environmental Studies,1,4,ENV1101:D
ENV2302,Communications for Environmental Studies,1,4,
ENV3102,Field Course in Environmental Studies,3,4,"{'or': ['ENV2101:D', 'ENV2301:D']}"
ENV3104,Socio-Ecological Assessment of Environmental Impacts,2,4,
ENV3202A,Environmental Studies Internship Programme,"3,4",4,
ENV3206,Evaluating Environmental Sustainability,1,4,ENV1101:D
ENV3288,Advanced UROP in Environmental Studies I,"1,2",4,
ENV3288R,Advanced UROP in Environmental Studies I (REx),"1,2",4,
ENV3289,Advanced UROP in Environmental Studies II,"1,2",4,
ENV3289R,Advanced UROP in Environmental Studies II (REx),2,4,
ENV4101,Environmental Management in Singapore,2,4,"{'or': ['ENV3101:D', 'ENV3102:D', 'ENV3104:D']}"
ES1000,Foundation Academic English,"1,2",0,
ES1103,English for Academic Purposes,"1,2,3",4,ES1000:D
ES2002,Business Communication for Leaders (BBA),"1,2",4,ES1000:D
ES2007D,Professional Communication,1,4,
ES2631,Critique and Communication of Thinking and Design,"1,2",4,
ES2660,Communicating in the Information Age,"1,2",4,
ES5000,Graduate English Course (Basic Level),"1,2",0,
ES5001A,Graduate English Course (Intermediate Level),"1,2",0,
ESE2000,Chemistry for an Environmentally Sustainable Future,1,4,MA1312:D
ESE2001,Environmental Challenges in the Anthropocene,1,4,"{'or': ['ESE2102:D', 'ESE2102:S']}"
ESE2101,Environmental Engineering Principles and Practice,1,4,
ESE2102,Principles & Practice in Environmental Monitoring,2,4,
ESE3101,Resource Management and Circular Economy,2,4,
ESE3201,Air Quality in Changing Environments,1,4,
ESE3301,Microbiology in Natural and Built Environments,2,4,
ESE3401,Sustainable Urban Water Technologies,1,4,CE2134:D
ESE4406,Energy Systems and Climate Change Mitigation,2,4,
ESE4501,Design Project,1,4,
ESE4501R,Design Project,"1,2",8,
ESE4502N,Final Year Project,2,8,
ESE4502R,B. Eng. Dissertation,"1,2",8,
ESE5001,Environmental Engineering Principles,"1,2",4,
ESE5001AB,Environmental Engineering Principles,2,4,
ESE5003,Environmental Chemical Processes Analysis,1,4,
ESE5004,Research Project,"1,2",8,
ESE5203,Aerosol Science and Technology,2,4,
ESE5205,Sludge and Solid Waste Management,1,4,
ESE5301,Environmental Microbiology and Biotechnology,1,4,ESE3301:D
ESE5401,Water Quality Management,2,4,ESE2401:D
ESE5404,Biological Treatment Processes,1,4,"{'nOf': [2, ['ESE2401:D', 'ESE3401:D']]}"
ESE5405,Water Treatment Processes,2,4,ESE3401:D
ESE5607,Green Catalysis,2,4,
ESE5666,Industrial Attachment,"1,2",4,
ESE5880A,Topics in Environmental Engineering: Chem. & Lab Safety,1,4,
ESE5880C,Topics in Env. Eng. - Environ Sys Planning & Analysis,2,4,
ESE5901,Environmental Technology,2,4,
ESE5999,Graduate Seminars,"1,2",4,
ESE6003,Advanced Environmental Chemical Process Analysis,1,4,
ESE6301,Advanced Environmental Microbiology and Biotechnology,1,4,
ESE6999,Doctoral Seminars,"1,2",8,
ESP1111,Engineering Principles In-Action,1,4,
ESP2106,Principles of Continua,1,4,
ESP2107,Numerical Methods and Statistics,1,4,
ESP2110,Design Project,2,4,
ESP2111,Sensor System Electronics,2,4,
ESP3201,Machine Learning in Robotics and Engineering,1,4,"{'and': ['CS1010E:D', {'or': ['ESP2110:D', 'ME2142:D', 'EE3331C:D']}]}"
ESP3903,Major Design Project 2,2,4,
ESP4401,Optimization of Energy Systems,2,4,ME2121:D
ESP4901,Research Project,"1,2",8,
ESP5402,Transport Phenomena in Energy Systems,2,4,
ETP2271,Discovering Resilience and Purpose,"1,2,3,4",2,
ETP3201I,Innovation & Enterprise Internship,"1,2",12,
ETP3201L,Innovation & Enterprise Internship,2,12,
ETP3201S,Innovation & Enterprise Internship,2,12,
ETP3202E,Innovation & Enterprise Case Study & Analysis,2,8,
ETP3202I,Innovation & Enterprise Case Study & Analysis,"1,2",8,
ETP3202L,Innovation & Enterprise Case Study & Analysis,2,8,
ETP3202P,Innovation & Enterprise Case Study & Analysis,2,8,
ETP3202S,Innovation & Enterprise Case Study & Analysis,2,8,
ETP3203L,Innovation & Enterprise Internship Practicum,2,8,
ETP3204S,Innovation & Enterprise Internship Practicum,2,4,
ETP3205,Innovation & Enterprise Internship,"2,3,4",6,
ETP3211,New Venture Creation,2,4,
ETP3321,Summer Programme in Entrepreneurship,4,4,
ETP4212,Venture Creation: Process and Mindset,"1,2",4,
ETP5201,Innovation & Enterprise Internship,2,12,
ETP5301,Innovation & Enterprise Internship,1,8,
ETP5311,GRIP Venture Creation Practicum,2,12,
ETP5331,Intellectual Property Basics for Entrepreneurs,"1,2",4,
ETP5341,New Venture Finance,"1,2",4,
EU2214,Introduction to Continental Philosophy,2,4,
EU3224,Social Thought & Social Theory,2,4,
EU3227,Continental European Philosophy,1,4,
EU4401,Honours Thesis,"1,2",15,"{'or': [{'nOf': [15, ['EU%:D', 'LAF%:D', 'LAG%:D', 'LAS%:D', 'AH2202:D', 'AH3204:D', 'AR2221:D', 'AR2222:D', 'AR2225:D', 'EC3371:D', 'EC3376:D', 'EC3377:D', 'EC4377:D', 'EL4200:D', 'EN2201:D', 'EN3266:D', 'EN3267:D', 'EN3268:D', 'EN4224:D', 'EN4271:D', 'HY2210:D', 'HY2249:D', 'HY2259:D', 'HY2262:D', 'HY4230:D', 'PH2206:D', 'PH2207:D', 'PH2222:D', 'PH3213:D', 'PH3222:D', 'PH4206:D', 'PH4207:D', 'PH4209:D', 'PH4210:D', 'PH4213:D', 'PH4261:D', 'PH4262:D', 'PS3258:D', 'PS3267:D', 'PS3880B:D', 'PS3880C:D', 'PS3880H:D', 'PS4201:D', 'PS4213:D', 'PS4217D:D', 'PS4217E:D', 'PS4217F:D', 'PS4231:D', 'PS4311:D', 'PS4882B:D', 'PS4883B:D', 'SC4213:D', 'TS2231:D', 'TS2239:D', 'TS3231:D']]}, {'nOf': [11, ['EU%:D', 'LAF%:D', 'LAG%:D', 'LAS%:D', 'AH2202:D', 'AH3204:D', 'AR2221:D', 'AR2222:D', 'AR2225:D', 'EC3371:D', 'EC3376:D', 'EC3377:D', 'EC4377:D', 'EL4200:D', 'EN2201:D', 'EN3266:D', 'EN3267:D', 'EN3268:D', 'EN4224:D', 'EN4271:D', 'HY2210:D', 'HY2249:D', 'HY2259:D', 'HY2262:D', 'HY4230:D', 'PH2206:D', 'PH2207:D', 'PH2222:D', 'PH3213:D', 'PH3222:D', 'PH4206:D', 'PH4207:D', 'PH4209:D', 'PH4210:D', 'PH4213:D', 'PH4261:D', 'PH4262:D', 'PS3258:D', 'PS3267:D', 'PS3880B:D', 'PS3880C:D', 'PS3880H:D', 'PS4201:D', 'PS4213:D', 'PS4217D:D', 'PS4217E:D', 'PS4217F:D', 'PS4231:D', 'PS4311:D', 'PS4882B:D', 'PS4883B:D', 'SC4213:D', 'TS2231:D', 'TS2239:D', 'TS3231:D']]}]}"
EU4660,Independent Study,"1,2",4,"{'nOf': [10, ['EU%:D', 'LAG%:D', 'LAS%:D', 'AH2202:D', 'AH3204:D', 'AR2221:D', 'AR2222:D', 'AR2225:D', 'EC3371:D', 'EC3376:D', 'EC3377:D', 'EC4377:D', 'EL4200:D', 'EN2201:D', 'EN3266:D', 'EN3267:D', 'EN3268:D', 'EN4224:D', 'EN4271:D', 'HY2210:D', 'HY2249:D', 'HY2259:D', 'HY2262:D', 'HY4230:D', 'PH2206:D', 'PH2207:D', 'PH2222:D', 'PH3213:D', 'PH3222:D', 'PH4206:D', 'PH4207:D', 'PH4209:D', 'PH4210:D', 'PH4213:D', 'PH4261:D', 'PH4262:D', 'PS3258:D', 'PS3267:D', 'PS3880B:D', 'PS3880C:D', 'PS3880H:D', 'PS4201:D', 'PS4213:D', 'PS4217D:D', 'PS4217E:D', 'PS4217F:D', 'PS4231:D', 'PS4311:D', 'PS4882B:D', 'PS4883B:D', 'SC4213:D', 'TS2231:D', 'TS2239:D', 'TS3231:D']]}"
FAS1101,Writing Academically: Arts and Social Sciences,"1,2",4,
FAS2551,FASS Internship,"1,2",4,CFG1002:D
FAS2551A,FASS Internship II,"1,2",4,"{'and': ['FAS2551:D', 'CFG1002:D']}"
FAS2552,FASS Extended Internship,"1,2",8,CFG1002:D
FAS2552A,FASS Extended Internship II,"1,2",8,"{'and': ['FAS2552:D', 'CFG1002:D']}"
FAS2553,FASS Work Experience Internship,"3,4",4,CFG1002:D
FAS2553A,FASS Work Experience Internship II,"3,4",4,"{'and': ['FAS2553:D', 'CFG1002:D']}"
FAS2882A,The Chinese Economy: Institutions and Policies,4,4,
FAS2882B,Influence of Migration on Landscapes of Singapore,4,4,
FAS2882C,Media in Global Contexts,4,4,
FAS2882E,"Social Psychology, You, and Me",4,4,
FAS2882G,Cross-Cultural Dialogue: A Global Perspective,4,4,
FAS3550,FASS Industry Seminar,2,2,CFG1002:D
FAS3551,FASS Capstone Career Preparation,2,2,
FDP2011,"Special Mathematics Class 1, 2","1,2",8,
FDP2012,Special Mathematics Class 3,2,4,FDP2011:D
FDP2021,"Special Physics Class 1, 2","1,2",8,
FDP2022,Special Physics Class 3,2,4,FDP2021:D
FE5101,Derivatives And Fixed Income,1,4,
FE5103,Equity Products and Exotics,2,4,FE5101
FE5105,Corporate Financing and Risk,"1,4",4,
FE5107,Risk Analyses And Management,2,4,
FE5108,Portfolio Theory And Investments,1,4,
FE5110,Financial Engineering Project,"1,2,4",4,
FE5111,Graduate Internship in Financial Engineering,"1,2",4,
FE5112,Stochastic Calculus and Quantitative Methods,"1,4",4,
FE5116,Programming and Advanced Numerical Methods,"2,4",4,
FE5208,Term Structure and Interest Rate Derivatives,2,4,FE5101
FE5209,Financial Econometrics,"1,4",4,
FE5210,Research Methods in Finance,2,4,
FE5212,Sustainable Finance Risk Management (SFRM),1,2,
FE5213,Quantitative Macroeconomics and Finance with Python,2,4,"{'nOf': [2, ['EC3102:D', 'EC3304:D']]}"
FE5214,Introduction to Quantitative Investing,2,4,
FE5216,Financial Technology Innovations Seminar,4,4,
FE5221,Trading Principles & Fundamentals,1,2,
FE5222,Advanced Derivatives Pricing,"1,4",4,
FE5223,Introduction to Electronic Financial Market,1,2,
FE5224,Current Topics In Applied Risk Management,2,2,
FE5225,Machine Learning and FinTech,2,4,
FE5226,C++ in Financial Engineering,1,4,
FE5227,Commodities: Fundamentals and Modelling,2,2,
FIN2704,Finance,"1,2",4,"{'or': ['ACC1701%:D', 'EC2204:D']}"
FIN2704X,Finance,"1,2",4,"{'or': ['ACC1701%:D', 'EC2204:D']}"
FIN3129,Independent Study in Finance,1,4,
FIN3139,Independent Study in Finance,1,2,
FIN3701A,Corporate Finance,1,4,FIN2704%:D
FIN3701B,Corporate Finance,2,4,FIN2704%:D
FIN3702A,Investment Analysis and Portfolio Management,"1,2",4,FIN2704%:D
FIN3702B,Investment Analysis and Portfolio Management,"1,2",4,FIN2704%:D
FIN3703A,Financial Markets,"1,2",4,FIN2704%:D
FIN3703B,Financial Markets,"1,2",4,FIN2704%:D
FIN3711,International Financial Management,"1,2",4,FIN2704%:D
FIN3712,Options and Futures,2,4,"{'and': ['FIN2704%:D', 'FIN3702%:D']}"
FIN3713,Bank Management,"1,2",4,"{'and': ['FIN2704%:D', 'FIN3702%:D']}"
FIN3714,Financial Risk Management,1,4,FIN3702%:D
FIN3715,Risk and Insurance,"1,2",4,FIN2704%:D
FIN3716,Financial Modelling,"1,2",4,"{'and': ['ACC1701%:D', 'FIN2704%:D', 'FIN3702%:D']}"
FIN3717,Fixed Income Securities,2,4,FIN3702%:D
FIN3719,Household Finance,"1,2",4,FIN2704%:D
FIN3720,Financial Statement Analysis,"1,2",4,"{'and': ['ACC1701%:D', 'FIN2704%:D']}"
FIN3721,Consumer Banking Wealth Management,2,4,FIN2704%:D
FIN3751,Independent Study in Finance,1,4,
FIN3761A,TIF: Transaction Banking,"1,2",4,"{'or': ['FIN3701%:D', 'RE3807:D']}"
FIN4119,Advanced Independent Study in Finance,1,4,
FIN4129,Advanced Independent Study in Finance,1,2,
FIN4714,Valuation and Mergers & Acquisition,"1,2",4,"{'and': ['FIN2704%:D', {'or': ['FIN3701%:D', 'RE3807:D']}]}"
FIN4715,Measuring Success in Philanthropy and Impact Investing,"1,2",4,
FIN4716,Equity Research Seminar,2,4,"{'or': ['FIN3701%:D', 'RE3807:D']}"
FIN4717,Entrepreneurial Finance,"1,2",4,"{'and': ['FIN2704%:D', {'or': ['FIN3701%:D', 'RE3807:D']}]}"
FIN4718,FinTech Management,"1,2",4,"{'and': ['FIN3701%:D', 'FIN3702%:D', 'FIN3703%:D']}"
FIN4719,FinTech and Financial Data Analytics,2,4,"{'and': [{'or': ['FIN3702%:D', 'QF3101:D']}, {'or': ['DAO2702:D', 'DSC2008:D', 'CS1010:D', 'CS1010E:D', 'CS1010S:D', 'CS1010X:D', 'CS1101S:D']}]}"
FIN4720,Sustainability and Finance,"1,2",4,"{'and': ['FIN3701%:D', {'or': ['FIN3702%:D', 'QF3101:D']}]}"
FIN4721,"AI, Blockchain and Quantum Computing","1,2",4,FIN2704%:D
FIN4751,Advanced Independent Study in Finance,"1,2",4,
FIN4752,Advanced Independent Study in Finance (2 Units),1,2,
FIN4761A,SIF: Private Equity,2,4,"{'and': [{'or': ['FIN3701%:D', 'RE3807:D']}, 'FIN3702%:D', 'FIN3703%:D']}"
FIN4761C,SIF: Applied Portfolio Management Techniques,1,4,FIN3702%:D
FIN4761D,SIF: Family Business & Wealth Management,1,4,"{'or': ['FIN3701%:D', 'RE3807:D']}"
FIN6004,Empirical Asset Pricing and Microstructure,1,4,
FIN6005,Independent Study Module,2,4,
FIN6006,Corporate Finance,2,4,
FSC2101,Forensic Science,1,4,
FSC3101,Evidence in Forensic Science,2,4,"{'or': ['FSC2101:D', 'LSM1306:D']}"
FSC4201,Articulating Probability and Statistics in Court,1,4,"{'or': ['FSC2101:D', 'LSM1306:D']}"
FSC4202,Forensic Human Identification,2,4,"{'or': ['FSC2101:D', 'LSM1306:D']}"
FSC4206,Advanced Criminal Litigation – Forensics on Trial,2,5,"{'or': ['FSC2101:D', 'LSM1306:D']}"
FSC4207,Forensic Entomology,2,4,"{'or': ['FSC2101:D', 'LSM1306:D']}"
FSC4208,Advanced Forensic Science,2,4,"{'or': ['FSC2101:D', 'LSM1306:D']}"
FSC5101,Survey of Forensic Science,1,4,
FSC5199,Research Project in Forensic Science,"1,2,3,4",16,
FSC5201,Advanced CSI Techniques,1,4,
FSC5202,Forensic Defense Science,2,4,
FSC5203,Digital Forensic Investigation,1,4,
FSC5204,Forensic Psychiatry and Psychology,2,4,
FSC5205,Forensic Science in Major Cases,2,4,
FSP4003,Field Service Project,"1,2",8,
FST1101B,Science and Technology of Foods,"1,2",4,"{'and': [{'or': ['CM1417:D', 'CM1417X:D']}, 'LSM1301:D']}"
FST2102B,Chemistry of Food Components,1,4,FST1101B:D
FST2106,Post Harvest Food Processing,2,4,FST1101B:D
FST2109,Fundamentals of Food Engineering,2,4,FST1101B:D
FST2110,Food Microbiology and Fermentation,1,4,FST1101B:D
FST2201,Introduction to Human Nutrition,2,4,"{'or': ['FST1101B:D', 'LSM1101:D', 'LSM1106:D']}"
FST2204,Seafood Supply Chains in Japan and Singapore,4,4,
FST2288,Basic UROPS in Food Science & Technology I,"1,2,3,4",4,"{'or': ['FST1101:D', 'FST1101B:D']}"
FST2288R,Basic UROPS in Food Science & Technology I (REx),"1,2",4,"{'or': ['FST1101:D', 'FST1101B:D']}"
FST2289,Basic UROPS in Food Science & Technology II,"1,2,3,4",4,"{'or': ['FST1101:D', 'FST1101B:D']}"
FST2289R,Basic UROPS in Food Science & Technology II (REx),2,4,"{'or': ['FST1101:D', 'FST1101B:D']}"
FST2310,FOS Undergraduate Professional Internship Programme 1ST,3,4,
FST2313,FOS Undergraduate Professional Internship Programme 2S2,2,12,
FST3103,Advanced Food Engineering,1,4,FST2109:D
FST3107,Sensory and Consumer Science,1,4,FST2102B:D
FST3108,Food Safety and Regulation,1,4,"{'nOf': [2, ['FST2102B:D', 'FST2110:D']]}"
FST3109,Flavour Science,1,4,"{'nOf': [2, ['FST2102B:D', 'FST2106:D']]}"
FST3110,Sustainable Food Packaging,2,4,FST2102B:D
FST3111,Food Analysis and Lab,2,4,FST2102B:D
FST3112,Food Quality Assurance and Control,2,4,FST2110:D
FST3202,Nutrition and Disease Prevention,1,4,FST2201:D
FST3203,Vitamins & Minerals in Health & Diseases,1,4,"{'nOf': [2, ['LSM2106:D', 'FST2201:D']]}"
FST3204,Nutrition Through the Life Cycle,2,4,FST2201:D
FST3287,FST Professional Placement,"3,4",4,
FST3288,Advanced UROPS in Food Science & Technology I,"1,2,3,4",4,
FST3288R,Advanced UROPS in Food Science & Technology I (REx),1,4,
FST3289,Advanced UROPS in Food Science & Technology II,"1,2,3,4",4,FST3288:D
FST3310,FOS Undergraduate Professional Internship Programme 2ST,"3,4",4,
FST3311,Undergraduate Professional Internship Programme,"3,4",4,FST3310:D
FST3312,FOS Undergraduate Professional Internship Programme 3S1,1,12,
FST4102,Advanced Food Processing Technology,2,4,FST3103:D
FST4103,Food Colloids and Components Science,2,4,"{'nOf': [2, ['FST3105:D', 'FST3106:D']]}"
FST4199,Honours Project in Food Science & Tech,"1,2",16,
FST4202,Nutritional Biochemistry,1,4,"{'and': ['FST3202:D', {'or': ['LSM2101:D', 'LSM2211:D']}]}"
FST4299,Applied Project in FST,"1,2",16,
FST4310,FOS Undergraduate Professional Internship Programme 3ST,3,4,
FST5198,Advanced Food Science and Nutrition Seminar,"1,2",4,
FST5199,MSc research project,"1,2",12,
FST5199A,MSc Research Project,"1,2",8,
FST5199B,Integrated Food Research Lab,"1,2",8,
FST5201,Rheology and Textural Properties of Biomaterials,2,4,
FST5202A,Modern Food Fermentation,2,4,"{'or': ['FST2110:D', 'FST3101:D', 'LSM3232:D']}"
FST5203A,Advanced Food Microbiological Analysis and Food Safety,2,4,"{'or': ['FST2110:D', 'FST3101:D', 'LSM3232:D']}"
FST5205A,Smart & Sustainable Food Processing and Engineering,1,4,
